demand,phase,variant,before,after,facility,delta,relative,se,upper95,lower95,seven_day_extra_income,facility_price,seven_day_net
flat,0,baseline,19,51,12006,5292.80625,0.7743284908600144,83.2643741661904,5456.004423365733,5129.608076634267,296397.14999999997,198000,98397.14999999997
flat,0,baseline,20,21,12001,-903.7166666666667,-0.11391266898456949,33.298718571051964,-838.4511782674049,-968.9821550659285,-50608.13333333333,18000,-68608.13333333333
flat,0,baseline,20,22,12002,-998.1041666666666,-0.1258101280448735,36.99130210151723,-925.6012145476928,-1070.6071187856403,-55893.83333333333,39000,-94893.83333333333
flat,0,baseline,20,28,12004,-214.27916666666667,-0.027009695276310124,31.224637569370568,-153.07887703070037,-275.47945630263297,-11999.633333333333,42000,-53999.63333333333
flat,0,baseline,20,52,12006,5370.2375,0.6769135828405164,80.23611715103235,5527.500289616024,5212.974710383976,300733.3,198000,102733.29999999999
flat,0,baseline,21,23,12002,-714.1645833333333,-0.10159246956958808,33.91713495099217,-647.6869988293887,-780.642167837278,-39993.21666666667,39000,-78993.21666666667
flat,0,baseline,21,29,12004,-82.09166666666667,-0.011677833572793528,28.371878100785654,-26.482785589126784,-137.70054774420655,-4597.133333333333,42000,-46597.13333333333
flat,0,baseline,21,53,12006,4917.727083333333,0.6995642891351457,80.02589589828266,5074.577839293967,4760.876327372699,275392.7166666667,198000,77392.71666666667
flat,0,baseline,22,23,12001,-619.7770833333333,-0.08936541552141065,27.885383844724267,-565.1217309976737,-674.4324356689929,-34707.51666666666,18000,-52707.51666666666
flat,0,baseline,22,30,12004,-34.94583333333333,-0.005038826056263987,26.99714445521996,17.96856979889779,-87.86023646556445,-1956.9666666666667,42000,-43956.96666666667
